Packet No,Receive Time,MSS
195,1743084555.1139767,65535
196,1743084555.1315784,65535
197,1743084555.1477036,65535
198,1743084555.1637502,65535
199,1743084555.182515,65535
200,1743084555.19872,65535
201,1743084555.2139275,65535
202,1743084555.2327836,65535
203,1743084555.2506187,65535
204,1743084555.2820666,65535
205,1743084555.3017917,65535
206,1743084555.3162458,65535
207,1743084555.3315496,65535
208,1743084555.3612776,65535
209,1743084555.3847485,65535
210,1743084555.4186726,65535
211,1743084555.4459295,65535
212,1743084555.4689538,65535
213,1743084555.485809,65535
214,1743084555.5133717,65535
215,1743084555.5332727,65535
216,1743084555.5513945,65535
217,1743084555.5693626,65535
218,1743084555.5887496,65535
219,1743084555.6036973,65535
220,1743084555.6315575,65535
221,1743084555.6478202,65535
222,1743084555.664601,65535
223,1743084555.6817765,65535
224,1743084555.699591,65535
225,1743084555.7166872,65535
226,1743084555.7385972,65535
227,1743084555.7548454,65535
228,1743084555.7683609,65535
229,1743084555.7925396,65535
230,1743084555.8117065,65535
231,1743084555.8311057,65535
232,1743084555.8483126,65535
233,1743084555.865859,65535
234,1743084555.8814662,65535
235,1743084555.8999958,65535
236,1743084555.9284475,65535
237,1743084555.9472144,65535
238,1743084555.966772,65535
239,1743084555.9886894,65535
240,1743084556.0090678,65535
241,1743084556.0314615,65535
242,1743084556.0483942,65535
243,1743084556.0648234,65535
244,1743084556.0820415,65535
245,1743084556.097569,65535
246,1743084556.1151447,65535
247,1743084556.1316123,65535
248,1743084556.1483667,65535
249,1743084556.1652083,65535
250,1743084556.1818185,65535
251,1743084556.1988642,65535
252,1743084556.21493,65535
253,1743084556.2320755,65535
254,1743084556.2482188,65535
255,1743084556.2649472,65535
256,1743084556.2825942,65535
257,1743084556.2997704,65535
258,1743084556.3185034,65535
259,1743084556.332785,65535
260,1743084556.3486474,65535
261,1743084556.3672485,65535
262,1743084556.3825233,65535
263,1743084556.4005437,65535
264,1743084556.415871,65535
265,1743084556.4343622,65535
266,1743084556.4493093,65535
267,1743084556.4805796,65535
268,1743084556.497608,65535
269,1743084556.5146332,65535
270,1743084556.5287871,65535
271,1743084556.547856,65535
272,1743084556.5649974,65535
273,1743084556.5822453,65535
274,1743084556.600052,65535
275,1743084556.6156356,65535
276,1743084556.6329744,65535
277,1743084556.659667,65535
278,1743084556.6744256,65535
279,1743084556.6997993,65535
280,1743084556.7220094,65535
281,1743084556.74348,65535
282,1743084556.7675643,65535
283,1743084556.798837,65535
284,1743084556.8157635,65535
285,1743084556.8325937,65535
286,1743084556.8495939,65535
287,1743084556.866011,65535
288,1743084556.8843322,65535
289,1743084556.9085221,65535
290,1743084556.9313278,65535
291,1743084556.9490542,65535
292,1743084556.9647949,65535
293,1743084556.9826853,65535
294,1743084557.0005822,65535
295,1743084557.0167968,65535
296,1743084557.0326252,65535
297,1743084557.0498345,65535
298,1743084557.0659583,65535
299,1743084557.0828686,65535
300,1743084557.0994773,65535
301,1743084557.1193278,65535
302,1743084557.140052,65535
303,1743084557.1643453,65535
304,1743084557.1793382,65535
305,1743084557.198183,65535
306,1743084557.215625,65535
307,1743084557.237227,65535
308,1743084557.2590168,65535
309,1743084557.2783353,65535
310,1743084557.291012,65535
311,1743084557.3156908,65535
312,1743084557.3393445,65535
313,1743084557.3645616,65535
314,1743084557.3819642,65535
315,1743084557.3984277,65535
316,1743084557.4148574,65535
317,1743084557.4309976,65535
318,1743084557.448806,65535
319,1743084557.4723687,65535
320,1743084557.499511,65535
321,1743084557.521063,65535
322,1743084557.5533679,65535
323,1743084557.5753438,65535
324,1743084557.6012287,65535
325,1743084557.6343582,65535
326,1743084557.653327,65535
327,1743084557.6792188,65535
328,1743084557.697309,65535
329,1743084557.707553,65535
330,1743084557.731032,65535
331,1743084557.749568,65535
332,1743084557.7671967,65535
333,1743084557.7837899,65535
334,1743084557.8056374,65535
335,1743084557.8271954,65535
336,1743084557.8489907,65535
337,1743084557.8665013,65535
338,1743084557.8845172,65535
339,1743084557.899786,65535
340,1743084557.9234757,65535
341,1743084557.948402,65535
342,1743084557.9651701,65535
343,1743084557.9823446,65535
344,1743084557.9990144,65535
345,1743084558.0158951,65535
346,1743084558.0329301,65535
347,1743084558.0499156,65535
348,1743084558.065456,65535
349,1743084558.0821574,65535
350,1743084558.099546,65535
351,1743084558.1177077,65535
352,1743084558.138654,65535
353,1743084558.1566715,65535
354,1743084558.1830025,65535
355,1743084558.2053447,65535
356,1743084558.2314186,65535
357,1743084558.248509,65535
358,1743084558.2667968,65535
359,1743084558.282264,65535
360,1743084558.3005862,65535
361,1743084558.324321,65535
362,1743084558.3457491,65535
363,1743084558.3662152,65535
364,1743084558.3826761,65535
365,1743084558.4025493,65535
366,1743084558.420461,65535
367,1743084558.442285,65535
368,1743084558.4662597,65535
369,1743084558.4837441,65535
370,1743084558.502306,65535
371,1743084558.519567,65535
372,1743084558.5343373,65535
373,1743084558.5508456,65535
374,1743084558.5668945,65535
375,1743084558.5846453,65535
376,1743084558.6054254,65535
377,1743084558.61974,65535
378,1743084558.6489832,65535
379,1743084558.6656332,65535
380,1743084558.68357,65535
381,1743084558.6999917,65535
382,1743084558.7205617,65535
383,1743084558.7489672,65535
384,1743084558.7656746,65535
385,1743084558.7833297,65535
386,1743084558.798908,65535
387,1743084558.819395,65535
388,1743084558.840087,65535
389,1743084558.8535724,65535
390,1743084558.8732927,65535
391,1743084558.8977726,65535
392,1743084558.915847,65535
393,1743084558.9343169,65535
394,1743084558.9497683,65535
395,1743084558.9659119,65535
396,1743084558.9832191,65535
397,1743084559.0009122,65535
398,1743084559.0183682,65535
399,1743084559.035355,65535
400,1743084559.0525143,65535
401,1743084559.0669143,65535
402,1743084559.0826802,65535
403,1743084559.1000407,65535
404,1743084559.117312,65535
405,1743084559.1332567,65535
406,1743084559.151469,65535
407,1743084559.167705,65535
408,1743084559.183532,65535
409,1743084559.202499,65535
410,1743084559.2298236,65535
411,1743084559.2495706,65535
412,1743084559.2673378,65535
413,1743084559.2854464,65535
414,1743084559.3063786,65535
415,1743084559.3327353,65535
416,1743084559.3492918,65535
417,1743084559.3655722,65535
418,1743084559.3836226,65535
419,1743084559.4005396,65535
420,1743084559.4160237,65535
421,1743084559.4345593,65535
422,1743084559.4557471,65535
423,1743084559.4831932,65535
424,1743084559.5008183,65535
425,1743084559.5176775,65535
426,1743084559.536327,65535
427,1743084559.5629911,65535
428,1743084559.577357,65535
429,1743084559.5996585,65535
430,1743084559.6165974,65535
431,1743084559.6333442,65535
432,1743084559.6523073,65535
433,1743084559.6669009,65535
434,1743084559.6841881,65535
435,1743084559.7009618,65535
436,1743084559.718652,65535
437,1743084559.736524,65535
438,1743084559.7664404,65535
439,1743084559.7844198,65535
440,1743084559.8024335,65535
441,1743084559.8185503,65535
442,1743084559.836308,65535
443,1743084559.8506358,65535
444,1743084559.8705804,65535
445,1743084559.8907042,65535
446,1743084559.9075515,65535
447,1743084559.9335973,65535
448,1743084559.9494298,65535
449,1743084559.9662282,65535
450,1743084559.9843378,65535
451,1743084560.0015836,65535
452,1743084560.0202322,65535
453,1743084560.0372913,65535
454,1743084560.0580938,65535
455,1743084560.0695176,65535
456,1743084560.0874038,65535
457,1743084560.1014197,65535
458,1743084560.1206198,65535
459,1743084560.1338074,65535
460,1743084560.1514015,65535
461,1743084560.1737185,65535
462,1743084560.199734,65535
463,1743084560.2154932,65535
464,1743084560.2342618,65535
465,1743084560.2507753,65535
466,1743084560.2673414,65535
467,1743084560.2828927,65535
468,1743084560.3007681,65535
469,1743084560.3177814,65535
470,1743084560.3344097,65535
471,1743084560.353341,65535
472,1743084560.3726568,65535
473,1743084560.3898542,65535
474,1743084560.4080296,65535
475,1743084560.4315853,65535
476,1743084560.4496331,65535
477,1743084560.4674847,65535
478,1743084560.4862876,65535
479,1743084560.5160797,65535
480,1743084560.5366821,65535
481,1743084560.5652,65535
482,1743084560.5869741,65535
483,1743084560.6215873,65535
484,1743084560.655307,65535
485,1743084560.6766791,65535
486,1743084560.7072594,65535
487,1743084560.7305956,65535
488,1743084560.7501633,65535
489,1743084560.768317,65535
490,1743084560.7903366,65535
491,1743084560.8158243,65535
492,1743084560.8336248,65535
493,1743084560.8512926,65535
494,1743084560.8713875,65535
495,1743084560.889552,65535
496,1743084560.910776,65535
497,1743084560.9334855,65535
498,1743084560.9525611,65535
499,1743084560.969789,65535
500,1743084560.9867415,65535
